Feature,THE DEAN'S LIST,THE VALEDICTORIAN
Price,"$5,997","$7,497"
Components,THE GRADUATE + 1 REP MAX,THE DOCTORATE + 1 REP MAX
Target Client,"""The garage your car AND your gains deserve.""","""The ultimate garage. Period."""
Savings vs. Separate,"$697 bundle discount (vs $6,694 separate)","$697 bundle discount (vs $8,194 separate)"
— GARAGE ORG INCLUDED —,,
Scope,Full Organization Logic & Install,White-Glove Detail
Garage Crew,2 Scholars (6-8 Hours),3 Scholars (1 Full Day)
Haul-Away,Up to 1 Truck Bed Included,Up to 2 Truck Bed Haul-Away
Categorization,Micro-Sorting (Sports/Tools/Holiday),Micro-Sorting (Sports/Tools/Holiday)
Storage Credit,$300 credit towards storage and shelving,$500 credit towards storage and shelving
Storage Bins,8 Standard Bins Included,16 Premium Bins Included
Cleaning,Deep Degrease & Wipe Down / Floor Powerwash,Deep Degrease & Wipe Down / Floor Powerwash
Resale Service,Concierge (50/50 Split) + Listing Mgmt,Concierge (50/50 Split) + Listing Mgmt
Guarantee,"30-Day ""Clutter-Free"" Guarantee",Seasonal Swap (1 Return Visit Included)
Heavy Duty Surcharge,+$350 (If garage has >20% floor cov.),Waived (Included in Premium Price)
— GYM INSTALL INCLUDED —,,
Equipment Assembly,Up to 5 pieces,Up to 5 pieces
Flooring,Full Garage Coverage Included,Full Garage Coverage Included
Design,Full Gym Design,Full Gym Design
Wall Storage,"Hooks, Bar Holders, Band Pegs","Hooks, Bar Holders, Band Pegs"
Platform Build,Deadlift / Olympic Platform,Deadlift / Olympic Platform
Total Crew Estimate,3 Scholars (~1.5 Days),3 Scholars (~2 Full Days)
