Feature,Tier 1: THE UNDERGRAD,Tier 2: THE GRADUATE,Tier 3: THE DOCTORATE,,A La Carte Add-Ons,Price
Price,"$1,197","$2,197",3797,,,
Target Client,"""We have the gear, we just lost the battle.""","""We want a garage we can park in tonight.""","""We want a showroom.""",,,
Scope,Surface Reset & De-Clutter,Full Organization Logic & Install,White-Glove Detail,,,
Labor (Crew),2 Scholars (4-5 Hours),2 Scholars (6-8 Hours),3 Scholars (1 Full Day),,,
Haul-Away,Up to 1 Truck Bed Included,Up to 1 Truck Bed Included,Up to 2 Truck Bed Haul-Away,,Extra Haul-Away,$300
Categorization,Broad Sorting (Keep/Donate/Trash),Micro-Sorting (Sports/Tools/Holiday),,,,
Installations,1 Zone Included (1 Shelf),$300 credit towards storage and shelving,$500 credit towards storage and shelving,,Extra Shelf,See Catalog
Storage Bins,Client Provided,8 Standard Bins Included,16 Premium Bins Included,,Overhead Storage,See Catalog
Cleaning,Sweep & Blow,Deep Degrease & Wipe Down / Floor Powerwash,Deep Degrease & Wipe Down / Floor Powerwash,,Click-In Plate Flooring,See Pricing
Resale Service,Concierge (50/50 Split) + Listing Mgmt,Concierge (50/50 Split) + Listing Mgmt,Concierge (50/50 Split) + Listing Mgmt,,Polyaspartic Floor Coating,See Pricing
Guarantee,"""Standard Clean""","30-Day ""Clutter-Free"" Guarantee",Seasonal Swap (1 Return Visit Included),,,
Heavy Duty Surcharge,+$350 (If garage has >20% floor cov. or vertical stacking),+$350 (If garage has >20% floor cov. or vertical stacking),Waived (Included in Premium Price),,,
